"LOCATION_ID","LOCATION","LISTED_IN_CITY"
393,"South Bangalore","Koramangala 4th Block"
394,"Marathahalli","HSR"
395,"East Bangalore","Bellandur"
396,"Kumaraswamy Layout","Brigade Road"
397,"Marathahalli","Jayanagar"
398,"Koramangala 5th Block","Kammanahalli"
399,"HSR","MG Road"
4,"Koramangala 5th Block","Residency Road"
5,"\N","Malleshwaram"
6,"Residency Road","Jayanagar"
7,"Ulsoor","Koramangala 5th Block"
8,"Domlur","Church Street"
9,"Rajajinagar","BTM"
10,"Jakkur","Frazer Town"
19,"Jeevan Bhima Nagar","Frazer Town"
20,"Brigade Road","Koramangala 6th Block"
21,"Whitefield","Koramangala 4th Block"
22,"Koramangala 6th Block","Church Street"
36,"Whitefield","MG Road"
37,"Kanakapura Road","Bannerghatta Road"
38,"Whitefield","Indiranagar"
39,"Vijay Nagar","Church Street"
40,"ITPL Main Road, Whitefield","Indiranagar"
41,"Marathahalli","Koramangala 4th Block"
42,"KR Puram","Brookefield"
43,"Bannerghatta Road","Church Street"
107,"Uttarahalli","MG Road"
108,"Frazer Town","Koramangala 4th Block"
109,"Koramangala 5th Block","Lavelle Road"
110,"Kalyan Nagar","Indiranagar"
111,"Jeevan Bhima Nagar","Brigade Road"
128,"Banashankari","Residency Road"
129,"Sanjay Nagar","Residency Road"
146,"Mysore Road","Banashankari"
147,"Sarjapur Road","Bannerghatta Road"
148,"Residency Road","Koramangala 6th Block"
149,"Indiranagar","Kammanahalli"
162,"Whitefield","Koramangala 5th Block"
182,"Kumaraswamy Layout","Banashankari"
183,"Kumaraswamy Layout","Bannerghatta Road"
184,"Koramangala 4th Block","Residency Road"
185,"Uttarahalli","Lavelle Road"
186,"South Bangalore","Frazer Town"
400,"Koramangala 1st Block","Koramangala 6th Block"
401,"Koramangala 2nd Block","Koramangala 6th Block"
402,"Koramangala 8th Block","Koramangala 6th Block"
403,"BTM","Koramangala 7th Block"
404,"Domlur","Koramangala 6th Block"
405,"Koramangala 8th Block","Koramangala 7th Block"
406,"City Market","Lavelle Road"
407,"Koramangala 1st Block","Koramangala 5th Block"
408,"South Bangalore","Koramangala 7th Block"
409,"Frazer Town","Lavelle Road"
410,"Seshadripuram","Malleshwaram"
411,"MG Road","MG Road"
412,"Brigade Road","MG Road"
413,"Kaggadasapura","Marathahalli"
414,"Indiranagar","Old Airport Road"
415,"St. Marks Road","Residency Road"
416,"HSR","Lavelle Road"
417,"West Bangalore","Rajajinagar"
418,"Frazer Town","Brigade Road"
419,"Shanti Nagar","Brigade Road"
420,"Koramangala 5th Block","BTM"
421,"Koramangala 7th Block","BTM"
422,"HSR","BTM"
423,"Bannerghatta Road","BTM"
424,"Residency Road","Church Street"
425,"MG Road","Frazer Town"
426,"Nagawara","Frazer Town"
427,"Infantry Road","Frazer Town"
428,"Sarjapur Road","HSR"
429,"Bannerghatta Road","Jayanagar"
430,"Bannerghatta Road","JP Nagar"
431,"Kammanahalli","Kalyan Nagar"
432,"Banaswadi","Kammanahalli"
433,"HBR Layout","Kammanahalli"
434,"BTM","Koramangala 4th Block"
435,"Bommanahalli","Koramangala 5th Block"
436,"MG Road","Brigade Road"
437,"Shanti Nagar","Church Street"
438,"RT Nagar","Frazer Town"
439,"Koramangala","Koramangala 6th Block"
440,"Hosur Road","Jayanagar"
441,"RT Nagar","Kammanahalli"
442,"Bommanahalli","Koramangala 4th Block"
443,"South Bangalore","HSR"
444,"South Bangalore","Basavanagudi"
445,"HSR","Jayanagar"
446,"Kengeri","Kalyan Nagar"
447,"JP Nagar","Koramangala 5th Block"
448,"Rajajinagar","Jayanagar"
449,"Hosur Road","Electronic City"
450,"Koramangala 5th Block","Church Street"
23,"Kammanahalli","Brigade Road"
24,"Bannerghatta Road","Residency Road"
25,"North Bangalore","Frazer Town"
26,"Seshadripuram","Brigade Road"
116,"Malleshwaram","MG Road"
117,"HSR","Basavanagudi"
118,"Frazer Town","Rajajinagar"
130,"Koramangala 5th Block","MG Road"
154,"Jakkur","Kammanahalli"
155,"Koramangala 7th Block","Residency Road"
156,"Whitefield","Brigade Road"
157,"BTM","Marathahalli"
208,"Marathahalli","Indiranagar"
209,"Richmond Road","Basavanagudi"
210,"Koramangala 7th Block","Basavanagudi"
211,"Electronic City","Koramangala 4th Block"
212,"Sanjay Nagar","Church Street"
236,"Peenya","Rajajinagar"
237,"Central Bangalore","Lavelle Road"
238,"Sanjay Nagar","Brigade Road"
239,"Uttarahalli","Church Street"
240,"Magadi Road","Malleshwaram"
258,"Ulsoor","Koramangala 7th Block"
259,"Rajarajeshwari Nagar","Banashankari"
645,"Cunningham Road","Lavelle Road"
646,"Shivajinagar","MG Road"
647,"Old Airport Road","Old Airport Road"
648,"CV Raman Nagar","Old Airport Road"
649,"Sanjay Nagar","Malleshwaram"
650,"Sankey Road","Malleshwaram"
651,"Cunningham Road","MG Road"
652,"Koramangala 4th Block","Old Airport Road"
653,"Majestic","Rajajinagar"
654,"Basaveshwara Nagar","Rajajinagar"
655,"Jayanagar","Basavanagudi"
656,"Cunningham Road","Brigade Road"
657,"BTM","BTM"
658,"Jayanagar","BTM"
659,"Koramangala 6th Block","BTM"
660,"Ejipura","BTM"
661,"Commercial Street","Frazer Town"
662,"Shivajinagar","Frazer Town"
663,"Bommanahalli","HSR"
664,"Indiranagar","Indiranagar"
665,"Domlur","Indiranagar"
666,"Kalyan Nagar","Kalyan Nagar"
667,"Koramangala 5th Block","Koramangala 4th Block"
668,"Koramangala 2nd Block","Koramangala 4th Block"
669,"Old Airport Road","Koramangala 4th Block"
670,"Richmond Road","Koramangala 5th Block"
671,"Kammanahalli","Frazer Town"
672,"Old Airport Road","Indiranagar"
673,"BTM","Jayanagar"
674,"Koramangala 8th Block","Jayanagar"
675,"Hosur Road","Koramangala 5th Block"
676,"Wilson Garden","Koramangala 5th Block"
677,"Koramangala 6th Block","Koramangala 7th Block"
678,"Varthur Main Road, Whitefield","Whitefield"
679,"Hosur Road","HSR"
680,"Sadashiv Nagar","Malleshwaram"
681,"Vasanth Nagar","Church Street"
682,"Frazer Town","Frazer Town"
683,"Church Street","Indiranagar"
684,"Kumaraswamy Layout","JP Nagar"
685,"Kammanahalli","Kammanahalli"
686,"HSR","Koramangala 5th Block"
687,"BTM","JP Nagar"
688,"Sarjapur Road","Koramangala 4th Block"
689,"Koramangala 6th Block","Koramangala 6th Block"
690,"Race Course Road","Residency Road"
691,"BTM","Koramangala 5th Block"
692,"Old Madras Road","Indiranagar"
693,"Koramangala 6th Block","Indiranagar"
694,"Koramangala 1st Block","Jayanagar"
695,"Koramangala 4th Block","Koramangala 5th Block"
696,"Koramangala 2nd Block","Koramangala 7th Block"
697,"Ulsoor","Koramangala 6th Block"
698,"\N","Marathahalli"
699,"\N","Rajajinagar"
700,"Koramangala 6th Block","Old Airport Road"
701,"Malleshwaram","Lavelle Road"
702,"Old Madras Road","MG Road"
703,"Old Madras Road","Church Street"
704,"Wilson Garden","Church Street"
705,"Richmond Road","Indiranagar"
706,"Bommanahalli","JP Nagar"
707,"Whitefield","Bellandur"
708,"City Market","Frazer Town"
709,"Majestic","Brigade Road"
710,"Indiranagar","Koramangala 5th Block"
711,"Frazer Town","Kalyan Nagar"
712,"Banashankari","Lavelle Road"
713,"BTM","Brigade Road"
49,"Nagarbhavi","Koramangala 6th Block"
50,"Residency Road","Koramangala 7th Block"
106,"Banashankari","BTM"
142,"Jalahalli","Basavanagudi"
143,"Koramangala","Residency Road"
144,"Residency Road","Koramangala 4th Block"
176,"Jeevan Bhima Nagar","Marathahalli"
177,"Whitefield","Koramangala 7th Block"
178,"Frazer Town","Bellandur"
179,"JP Nagar","HSR"
180,"Rammurthy Nagar","Koramangala 4th Block"
181,"Koramangala 8th Block","Lavelle Road"
205,"South Bangalore","Banashankari"
206,"Marathahalli","Bannerghatta Road"
207,"New BEL Road","Frazer Town"
233,"Marathahalli","Basavanagudi"
234,"Mysore Road","Basavanagudi"
235,"Vijay Nagar","Lavelle Road"
252,"JP Nagar","Bannerghatta Road"
253,"Shanti Nagar","Koramangala 6th Block"
254,"Sanjay Nagar","Lavelle Road"
255,"BTM","Indiranagar"
256,"\N","Kammanahalli"
264,"Basavanagudi","Banashankari"
265,"JP Nagar","Banashankari"
266,"Whitefield","Church Street"
267,"Nagarbhavi","Koramangala 5th Block"
268,"Kammanahalli","Church Street"
269,"Jayanagar","Rajajinagar"
714,"Koramangala 6th Block","Koramangala 5th Block"
715,"Hosur Road","Koramangala 6th Block"
716,"Ejipura","Koramangala 6th Block"
717,"Brigade Road","Koramangala 7th Block"
718,"Shivajinagar","Lavelle Road"
719,"Vasanth Nagar","MG Road"
720,"Residency Road","MG Road"
721,"Indiranagar","MG Road"
722,"Yeshwantpur","New BEL Road"
723,"East Bangalore","Old Airport Road"
724,"Basavanagudi","Rajajinagar"
725,"HSR","Sarjapur Road"
726,"KR Puram","Whitefield"
727,"New BEL Road","Malleshwaram"
728,"Marathahalli","Marathahalli"
729,"Ejipura","Old Airport Road"
730,"Bellandur","Whitefield"
731,"Shanti Nagar","Residency Road"
732,"Frazer Town","Malleshwaram"
733,"Brigade Road","Brigade Road"
734,"Koramangala 6th Block","Brigade Road"
735,"Koramangala 1st Block","BTM"
736,"Koramangala 2nd Block","BTM"
737,"Lavelle Road","Church Street"
738,"St. Marks Road","Church Street"
739,"Koramangala 5th Block","Brigade Road"
740,"Infantry Road","Church Street"
741,"Jeevan Bhima Nagar","Indiranagar"
742,"Brigade Road","Indiranagar"
743,"Nagawara","Kalyan Nagar"
744,"Nagawara","Kammanahalli"
745,"Jayanagar","Koramangala 4th Block"
746,"Koramangala 3rd Block","Koramangala 4th Block"
747,"Ejipura","Koramangala 5th Block"
748,"Koramangala 3rd Block","Jayanagar"
749,"Indiranagar","Koramangala 4th Block"
750,"South Bangalore","JP Nagar"
751,"Ejipura","Koramangala 4th Block"
752,"Koramangala 2nd Block","Koramangala 5th Block"
753,"East Bangalore","Brookefield"
754,"Kumaraswamy Layout","Church Street"
755,"HSR","JP Nagar"
756,"Langford Town","Koramangala 7th Block"
757,"HBR Layout","Lavelle Road"
758,"Thippasandra","Marathahalli"
759,"Majestic","MG Road"
760,"Yelahanka","New BEL Road"
761,"Langford Town","Residency Road"
762,"Old Airport Road","Brookefield"
763,"Jayanagar","Residency Road"
764,"HBR Layout","Brigade Road"
765,"Koramangala 8th Block","Electronic City"
766,"West Bangalore","Malleshwaram"
767,"New BEL Road","Kammanahalli"
1,"Bannerghatta Road","Basavanagudi"
2,"RT Nagar","MG Road"
3,"Uttarahalli","Brigade Road"
29,"Ejipura","Lavelle Road"
30,"Kumaraswamy Layout","Lavelle Road"
31,"Central Bangalore","Brigade Road"
124,"Electronic City","Koramangala 5th Block"
125,"New BEL Road","Rajajinagar"
126,"Vijay Nagar","MG Road"
127,"JP Nagar","Basavanagudi"
145,"CV Raman Nagar","BTM"
168,"Koramangala 8th Block","Indiranagar"
169,"Hosur Road","JP Nagar"
170,"Koramangala 5th Block","Kalyan Nagar"
171,"Kumaraswamy Layout","Basavanagudi"
172,"HBR Layout","Residency Road"
173,"Banashankari","Koramangala 6th Block"
174,"Bellandur","Brookefield"
175,"Whitefield","Residency Road"
201,"Vijay Nagar","Brigade Road"
202,"Bannerghatta Road","Brigade Road"
203,"Kaggadasapura","Indiranagar"
204,"CV Raman Nagar","Jayanagar"
228,"Shanti Nagar","Jayanagar"
229,"Whitefield","Lavelle Road"
230,"CV Raman Nagar","JP Nagar"
231,"Koramangala 2nd Block","Old Airport Road"
232,"Banashankari","Bellandur"
451,"Brigade Road","Lavelle Road"
452,"Infantry Road","Lavelle Road"
453,"Sankey Road","Lavelle Road"
454,"Domlur","Old Airport Road"
455,"Koramangala 1st Block","Old Airport Road"
456,"Magadi Road","Rajajinagar"
457,"East Bangalore","Whitefield"
458,"Residency Road","Lavelle Road"
459,"Residency Road","Residency Road"
460,"ITPL Main Road, Whitefield","Whitefield"
461,"Brigade Road","Residency Road"
462,"Basavanagudi","Residency Road"
463,"Wilson Garden","Basavanagudi"
464,"Banashankari","Basavanagudi"
465,"Basavanagudi","Basavanagudi"
466,"HSR","Bellandur"
467,"Shivajinagar","Brigade Road"
468,"ITPL Main Road, Whitefield","Brookefield"
469,"Koramangala 3rd Block","BTM"
470,"Ulsoor","Church Street"
471,"Koramangala 5th Block","Jayanagar"
472,"North Bangalore","Kammanahalli"
473,"Rammurthy Nagar","Kammanahalli"
474,"Koramangala 4th Block","Koramangala 4th Block"
475,"Shivajinagar","Church Street"
476,"Thippasandra","Indiranagar"
477,"Koramangala 7th Block","Jayanagar"
478,"Koramangala 7th Block","Koramangala 5th Block"
479,"Koramangala 7th Block","Koramangala 6th Block"
480,"Bannerghatta Road","Koramangala 7th Block"
481,"Majestic","Residency Road"
482,"Kumaraswamy Layout","Residency Road"
483,"Hennur","Frazer Town"
484,"South Bangalore","Jayanagar"
485,"Koramangala 4th Block","BTM"
486,"Richmond Road","Church Street"
487,"Kengeri","Kammanahalli"
488,"Koramangala","Koramangala 4th Block"
489,"Richmond Road","Koramangala 4th Block"
490,"Koramangala 8th Block","Koramangala 4th Block"
491,"Domlur","Koramangala 5th Block"
492,"Bommanahalli","Koramangala 6th Block"
493,"Wilson Garden","Koramangala 7th Block"
494,"Koramangala 1st Block","Koramangala 7th Block"
495,"Wilson Garden","MG Road"
496,"Koramangala 1st Block","Sarjapur Road"
497,"Indiranagar","Residency Road"
498,"HSR","Church Street"
499,"Old Airport Road","Koramangala 6th Block"
500,"\N","Koramangala 6th Block"
501,"Koramangala 7th Block","MG Road"
502,"Electronic City","Sarjapur Road"
503,"Jayanagar","Lavelle Road"
504,"Koramangala 7th Block","Lavelle Road"
505,"Yelahanka","Malleshwaram"
506,"BTM","MG Road"
507,"Central Bangalore","Residency Road"
508,"Basavanagudi","Brigade Road"
509,"Ejipura","Brigade Road"
510,"Banaswadi","Indiranagar"
511,"HBR Layout","Church Street"
512,"Indiranagar","HSR"
513,"Old Madras Road","Frazer Town"
514,"Koramangala 6th Block","MG Road"
515,"HBR Layout","Frazer Town"
11,"BTM","Residency Road"
12,"Bommanahalli","Bannerghatta Road"
13,"Kammanahalli","Indiranagar"
27,"Bannerghatta Road","Lavelle Road"
112,"Jalahalli","Residency Road"
113,"Koramangala 8th Block","Basavanagudi"
114,"East Bangalore","MG Road"
115,"Vijay Nagar","Residency Road"
135,"BTM","Frazer Town"
136,"\N","HSR"
137,"Nagarbhavi","Koramangala 4th Block"
160,"City Market","MG Road"
161,"Bommanahalli","Sarjapur Road"
191,"Yeshwantpur","Rajajinagar"
192,"Kammanahalli","Lavelle Road"
193,"Domlur","Koramangala 7th Block"
194,"South Bangalore","Old Airport Road"
195,"RT Nagar","Church Street"
221,"Jalahalli","Brigade Road"
222,"Koramangala 6th Block","Residency Road"
223,"Banashankari","Banashankari"
224,"Electronic City","Bannerghatta Road"
225,"Banashankari","MG Road"
226,"Sarjapur Road","BTM"
227,"Ulsoor","Koramangala 4th Block"
248,"Koramangala 8th Block","JP Nagar"
249,"Malleshwaram","Residency Road"
250,"Jayanagar","Banashankari"
251,"Vijay Nagar","Banashankari"
595,"Commercial Street","Lavelle Road"
596,"Brookefield","Marathahalli"
597,"St. Marks Road","MG Road"
598,"Church Street","MG Road"
599,"Sanjay Nagar","New BEL Road"
600,"Lavelle Road","Residency Road"
601,"City Market","Residency Road"
602,"Whitefield","Whitefield"
603,"Marathahalli","Bellandur"
604,"Residency Road","Brigade Road"
605,"Wilson Garden","Brigade Road"
606,"Marathahalli","Brookefield"
607,"Brigade Road","Church Street"
608,"Commercial Street","Church Street"
609,"Indiranagar","Church Street"
610,"Indiranagar","Frazer Town"
611,"Ejipura","Indiranagar"
612,"Hennur","Kalyan Nagar"
613,"Koramangala 6th Block","Koramangala 4th Block"
614,"Koramangala 1st Block","Koramangala 4th Block"
615,"Hosur Road","Koramangala 4th Block"
616,"Frazer Town","Church Street"
617,"Wilson Garden","Jayanagar"
618,"City Market","Kammanahalli"
619,"Koramangala 3rd Block","Koramangala 6th Block"
620,"Koramangala 5th Block","Koramangala 7th Block"
621,"HSR","Koramangala 7th Block"
622,"Basavanagudi","Lavelle Road"
623,"RT Nagar","Kalyan Nagar"
624,"\N","Koramangala 4th Block"
625,"Hosur Road","BTM"
626,"CV Raman Nagar","Indiranagar"
627,"Basavanagudi","Jayanagar"
628,"Sarjapur Road","Bellandur"
629,"South Bangalore","Koramangala 5th Block"
630,"Ejipura","Koramangala 7th Block"
631,"Kalyan Nagar","Kammanahalli"
632,"Indiranagar","Koramangala 6th Block"
633,"Sadashiv Nagar","Rajajinagar"
634,"Langford Town","Lavelle Road"
635,"Langford Town","Church Street"
636,"Ejipura","Church Street"
637,"Koramangala","HSR"
638,"Commercial Street","Indiranagar"
639,"Malleshwaram","Church Street"
640,"\N","Koramangala 5th Block"
641,"Race Course Road","Frazer Town"
642,"Marathahalli","JP Nagar"
643,"Rajajinagar","JP Nagar"
644,"HSR","Brigade Road"
32,"Jalahalli","MG Road"
33,"City Market","Indiranagar"
34,"Banashankari","Koramangala 5th Block"
35,"Bommanahalli","Electronic City"
104,"City Market","Banashankari"
105,"Malleshwaram","Brigade Road"
139,"Mysore Road","Rajajinagar"
140,"BTM","Lavelle Road"
141,"Koramangala 7th Block","Indiranagar"
166,"BTM","Old Airport Road"
167,"Kammanahalli","MG Road"
196,"Central Bangalore","Church Street"
197,"Old Airport Road","Church Street"
198,"Rammurthy Nagar","HSR"
220,"Nagarbhavi","Kammanahalli"
245,"Jalahalli","Lavelle Road"
246,"Uttarahalli","Residency Road"
247,"CV Raman Nagar","Bannerghatta Road"
260,"Nagarbhavi","Jayanagar"
261,"Nagarbhavi","Banashankari"
262,"South Bangalore","Bannerghatta Road"
263,"South Bangalore","Indiranagar"
516,"Vasanth Nagar","Lavelle Road"
517,"MG Road","Lavelle Road"
518,"Seshadripuram","Lavelle Road"
519,"Domlur","MG Road"
520,"Cunningham Road","Residency Road"
521,"Ulsoor","Lavelle Road"
522,"Old Airport Road","Marathahalli"
523,"ITPL Main Road, Whitefield","Marathahalli"
524,"Sahakara Nagar","New BEL Road"
525,"Jalahalli","New BEL Road"
526,"Kaggadasapura","Old Airport Road"
527,"Malleshwaram","Rajajinagar"
528,"Church Street","Residency Road"
529,"Ulsoor","Residency Road"
530,"Koramangala 8th Block","Residency Road"
531,"Richmond Road","Residency Road"
532,"Frazer Town","Residency Road"
533,"Race Course Road","Rajajinagar"
534,"Infantry Road","Brigade Road"
535,"Vasanth Nagar","Brigade Road"
536,"Koramangala 7th Block","Brigade Road"
537,"Brookefield","Brookefield"
538,"Bommanahalli","BTM"
539,"Koramangala","BTM"
540,"HSR","HSR"
541,"Rammurthy Nagar","Kalyan Nagar"
542,"Hennur","Kammanahalli"
543,"MG Road","Indiranagar"
544,"BTM","Koramangala 6th Block"
545,"Wilson Garden","Koramangala 6th Block"
546,"Koramangala","Koramangala 7th Block"
547,"Richmond Road","Koramangala 6th Block"
548,"Wilson Garden","Lavelle Road"
549,"Frazer Town","MG Road"
550,"Vijay Nagar","Rajajinagar"
551,"Bellandur","Bellandur"
552,"Koramangala 1st Block","Bellandur"
553,"Church Street","Brigade Road"
554,"St. Marks Road","Brigade Road"
555,"Domlur","Brigade Road"
556,"Race Course Road","Church Street"
557,"Vasanth Nagar","Frazer Town"
558,"Residency Road","Frazer Town"
559,"Church Street","Frazer Town"
560,"Lavelle Road","Frazer Town"
561,"JP Nagar","Jayanagar"
562,"Koramangala 1st Block","HSR"
563,"Koramangala 5th Block","Koramangala 6th Block"
564,"Bannerghatta Road","Koramangala 6th Block"
565,"Shanti Nagar","Lavelle Road"
566,"Ulsoor","Brigade Road"
567,"Koramangala 3rd Block","HSR"
568,"Kumaraswamy Layout","Jayanagar"
569,"Shanti Nagar","Koramangala 7th Block"
570,"Old Madras Road","Old Airport Road"
571,"Jayanagar","Koramangala 7th Block"
572,"South Bangalore","Koramangala 6th Block"
573,"Bommanahalli","Koramangala 7th Block"
574,"Ejipura","MG Road"
575,"Langford Town","MG Road"
576,"Majestic","Malleshwaram"
577,"Electronic City","Koramangala 6th Block"
578,"City Market","Church Street"
579,"Majestic","Church Street"
580,"Seshadripuram","Church Street"
581,"BTM","HSR"
582,"Frazer Town","Indiranagar"
583,"Koramangala 2nd Block","Jayanagar"
584,"Old Airport Road","Bellandur"
585,"Old Madras Road","Brigade Road"
586,"Richmond Road","Frazer Town"
587,"South Bangalore","Electronic City"
588,"Ejipura","HSR"
589,"Koramangala 4th Block","Jayanagar"
590,"New BEL Road","Kalyan Nagar"
591,"East Bangalore","Indiranagar"
592,"Banashankari","HSR"
593,"HSR","Residency Road"
594,"HBR Layout","MG Road"
