"CUISINE_ID","DISH_LIKED","CUISINES"
814,"\N","Biryani, Hyderabadi, Charcoal Chicken, North Indian"
815,"Burgers, Fries, Bbq Chicken Pizza, Pasta, Potato Wedges, Peri Peri Chicken, Steak","Cafe, American, Italian, Pizza, Burger"
816,"Pane Pizza, Garlic Bread, Pepperoni Pizza, Chocolava Cake, Veggie Pizza, Cheese Burst Pizza","Pizza, Fast Food"
817,"Cocktails, Chicken Tikka, Burgers, Popcorn, Beer, Jalapeno Cheese Poppers","Finger Food"
818,"Shawarma, Pita Bread, Al Faham Chicken, Barbeque Chicken","Arabian, Lebanese, Chinese, Rolls, North Indian"
819,"Crispy Chicken, Pasta, Burgers, Pizza, Clear Soup, Chicken Burger, Brownie","Cafe, Continental, Burger"
820,"Noodles, Drunken Chicken Wings, Sweet Corn Soup, Spring Roll","Chinese"
821,"\N","Chinese, Street Food, Juices"
822,"Rolls, Ice Cream Roll, Fries, Chocolate Icecreams, Banana Nutella, Chocolate Ball, Waffles","Desserts, Ice Cream, Beverages, Fast Food, Sandwich"
823,"Appam, Fried Fish, Paratha, Vegetable Stew, Chicken Biryani, Chicken Curry, Sea Food","Kerala, South Indian, North Indian, Chinese"
824,"Lamb Chops, Strawberry Daiquiri, Truffle, Bbq, Chicken Kebab, Nachos, Karara Paneer","Mediterranean, BBQ"
825,"Panipuri, Samosa, Rasmalai","Mithai, Street Food"
826,"Shawarma, Tea, Coffee, Chai","Cafe"
827,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Veggie Pizza, Chips","Continental, Italian, American"
828,"Paneer Pizza, Oreo Shake, Onion Rings, Maggi, Peri Peri Chicken Pizza, Lamb Burger, Cheese Balls","Cafe, Continental"
829,"Lassi, Murgh Patiala, Dal Makhani, Hara Bhara Kabab, Malai Kofta, Stuffed Mushroom, Paneer Tikka","North Indian"
830,"Rice Bowl, Paneer Tikka, Rice Bowls, California Burrito","Mexican, Fast Food"
831,"Momos, Thukpa, Butter Tea","Chinese, Tibetan, North Indian"
1208,"Lamb Chops, Crepe Suzette, Cocktails, Steak, Molten Chocolate Cake, Lobster Bisque, Sea Food","BBQ"
1209,"Manchow Soup","Chinese, Momos"
1210,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Onion Rings","Cafe"
1211,"Cocktails, Pizza, Fries, Pasta, Chicken Sizzler, Long Island Iced Tea, Mojito","American, Chinese, Continental, North Indian"
1212,"Kesari Bath, Pav Bhaji, Filter Coffee, Pongal, Tea, Idli, Vada","South Indian, North Indian, Chinese, Street Food, Fast Food"
1213,"Burgers, Peri Peri Chicken, Grilled Lamb Burger, Chicken Burger, French Fries","Burger, Fast Food"
1214,"Burgers, Cocktails, Peri Peri Chicken, Chicken Sandwich, Chilli Chicken, Draught Beer, Fries","Finger Food, Continental"
1215,"Tea, Tomato Rice, Filter Coffee, Idli, Biryani","Coffee, Street Food"
1216,"Filter Coffee, Brownie Chocolate, Hot Chocolate, Hot Coffee, Chips, Cafe Mocha, Walnut Brownie","Cafe"
1217,"Hakka Noodles, Momos","Chinese"
1218,"Butter Naan, French Fries","North Indian"
1219,"Shawarma, Bbq Chicken, Biryani, Butter Chicken, Paneer Lababdar, Chicken Grill, Chicken Lazeez","Arabian, Seafood, North Indian, Chinese, BBQ, Biryani, Beverages"
1220,"Tea, Masala Poha, Chicken Roll, Pasta","Fast Food, Sandwich, Beverages"
1221,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav","North Indian, Street Food"
1222,"\N","Beverages, Ice Cream, Juices, Sandwich"
1223,"Panipuri","Ice Cream, Desserts"
1224,"Pan Cake, Waffles, Nutella Pancakes","Desserts, Beverages, Cafe, Ice Cream"
1225,"Waffles, Brownie, Cheesecake","Beverages, Desserts"
1226,"Pasta, Lunch Buffet, Paneer Lajawab, Masala Papad, Biryani, Tomato Shorba, Dal Makhani","North Indian, Mughlai, Chinese"
1227,"Biryani, Noodles","Andhra, Chinese, Biryani"
1228,"Paneer Tikka, Biryani, Hara Bhara Kebab, Mocktails, Roti, Gulab Jamun, Fish","North Indian"
1229,"Hazelnut Cappuccino, Pancakes, Red Velvet Cake, Nutella Shake, Murgh Ghee Roast, Butter Chicken, Chocolate Icecreams","Desserts, Fast Food"
1230,"Chaat, Paratha, Thali, Panipuri, Pav Bhaji, Gajar Ka Halwa, Veg Cutlet","North Indian, Street Food, Mithai"
1231,"Mutton Biryani, Andhra Style Biryani, Andhra Meal, Chicken Biryani, Butter Naan, Dal Palak, Andhra Thali","Andhra, Biryani"
1232,"Rice Bowl, California Burrito, Nachos, Salad, Burrito Bowl, Chips, Rice Bowls","Mexican, Fast Food"
1233,"Sea Food, Murgh Ghee Roast, Tender Coconut Chicken, Fish, Neer Dosa, Lemon Chicken, Beer","Seafood, North Indian, Chinese"
1234,"Chole, Sev Puri, Pav Bhaji, Sweet Lassi, Chaat Platter, Veg Thali","North Indian, Street Food"
1235,"Thali, Jalebi, Dahi Vada, Chaat, Buttermilk, Rabri Malpua, Kadhi","Hyderabadi, Gujarati, Maharashtrian"
1505,"Burgers, Pizza, Biryani","Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger"
1506,"Paratha, Biryani, Fish Fry","Kerala, Konkan"
1507,"Garlic Bread, Pasta, Pizza Burger","Pizza, Fast Food"
1508,"Kalmi Kabab, Hyderabadi Dum Biryani, Vegetable Biryani, Haleem, Paneer Tikka, Supreme Mutton Biryani, Hyderabadi Mutton Biryani","Biryani, North Indian, Kebab"
1509,"Pizza, Garlic Bread","Cafe, Pizza, Fast Food, Beverages"
1510,"Mysore Pak, Pav Bhaji, Chaat, Masala Poori, Badam Milk, Paratha, Panipuri","Mithai, Street Food, North Indian, Chinese"
1511,"Dal Makhani, Lassi, Butter Chicken, Panneer Butter Masala, Mix Veg, Saag, Butter Naan","North Indian"
1512,"Pasta, Salads, Mocktails, Paneer Tikka, Biryani, Falafel, Naan","North Indian, Italian"
1513,"\N","Mithai, Desserts, Bakery"
1514,"Banana Smoothie, Tiramisu, Barbeque Chicken Pizza, Fish, Pasta, Mushroom Ravioli, Stuffed Chicken Pizza","Pizza, Cafe, Italian"
1515,"Egg Biryani, Roti, Mutton Biryani, Chicken Chettinad","South Indian, Biryani"
1516,"Paratha, Chole Bhature","North Indian"
1517,"Butter Chicken","North Indian"
1518,"\N","Fast Food, Burger, Pizza, Sandwich"
1519,"Paratha, Lassi, Rolls","North Indian, Fast Food, Rolls"
1520,"\N","South Indian, Biryani, Fast Food"
1521,"Burgers, Steak, Buffalo Wings, Chicken Wings, Nachos, Chicken Sizzler, Grilled Basa","American, Mexican, Italian, Steak"
1522,"Burgers, Steak","North Indian, Steak, South Indian"
1523,"Sea Food, Fish Curry, Fish Steak, Neer Dosa, Masala Prawn","Mangalorean, Seafood"
1524,"Kesar Kulfi, Ghamandi Lassi, Biryani, Corn Soup, Kokum Juice, Vanilla Ice Cream, Bloody Mary","Modern Indian, North Indian"
1525,"Burgers, Pasta, Chicken Zinger Burger, French Fries","Fast Food, Continental, Burger"
1526,"Momos, Pork Momo, Noodles, Fried Rice, Chilli Chicken, Bbq Pork Ribs","Chinese, Momos"
1527,"Pasta, Mutton Seekh, Fish, Pizza, Papdi Chaat, Prawn Malai Curry, Sea Food","Rajasthani, Gujarati, North Indian"
1528,"Chicken Dum Biryani, Egg Curry, Gajar Halwa, Honey Cake, Hakka Noodles, Rabri, Carrot Halwa","North Indian, Continental, Chettinad, Andhra, Bengali"
1673,"Handi Biryani, Sandwich, Paneer Manchurian","North Indian, Chinese, Fast Food, Street Food"
1674,"Chocolava, Red Velvet Cake, Choco Truffle Cake, Cup Cake, Chocolate Truffle, Blueberry Cheesecake","Bakery, Desserts"
1675,"Shawarma, Tandoori Chicken, Chicken Grill, Bbq Chicken","Arabian, Kerala, North Indian, Chinese, BBQ"
1676,"Truffle, Cheesecake","Bakery, Desserts"
1677,"Pizza, Tandoori Chicken, Mocktails, Cocktails, Sali Boti, Chocolate Mud Pot, Crispy Lotus Stem","Italian, Mediterranean, Pizza"
1678,"Healthy Breakfast, English Breakfast, Caesar Salad, Burgers, Enchiladas, Omelette, Egg Burger","Cafe, Continental, American, Italian"
1679,"Mocktails, Cocktails, Pizza, Burgers, Tandoori Salmon, Brownie, Tiramisu","Spanish, Italian, Mediterranean"
1680,"Fish, Falafel, Mutton Shorba, Biryani, Pita Bread, Chicken Steak, Kunafa","Arabian, Biryani, Desserts, Beverages, Salad"
1681,"Cocktails, Beer, Jalebi, Tandoori Chicken, Mocktails, Paneer Tikka, Galauti Kebab","North Indian"
1682,"Ghee Dosa, Chai, Mysore Pak, Filter Coffee, Vada, Salad, Masala Dosa","South Indian, Fast Food, Street Food"
1683,"Coffee, Masala Dosa, Masala Poori, Kadhai Paneer","South Indian, North Indian, Chinese, Street Food"
1684,"Burgers, Popcorn Chicken, Hot Wings, Virgin Mojito, Rice Bowl","Burger, Fast Food"
1685,"Biryani","Biryani, Hyderabadi, Chinese, North Indian"
1686,"Tandoori Paneer, Paneer Pizza","Pizza"
1687,"Lasagne, Steak, Masala Quesadilla, Garlic Bread","Mexican, Italian"
1688,"Chaat, Thali, Jalebi, Rajma, Paneer Tikka, Paratha, Kulfi","North Indian, Continental, Street Food"
1689,"Buttermilk, Thali, Dal Bati, Panneer Butter Masala, Rajma Rice, Sweet Lassi, Kadhi","North Indian, Chinese"
1690,"\N","Kerala, South Indian, Fast Food"
1691,"Masala Dosa, Rava Dosa, Khali Dosa, Vada, Filter Coffee, Kali Dosa, Kesari Bath","South Indian"
1692,"\N","Chinese, Continental, Seafood, North Indian"
1693,"\N","North Indian, Chinese, Continental, Seafood"
1694,"Paneer Tikka Pizza, Veggie Pizza, Chocolate Tart, Peri Peri Chicken Pizza, Pasta, Kit Kat Shake, Margherita Pizza","Pizza, Italian, Beverages"
1695,"\N","BBQ, Seafood, Fast Food"
1696,"Chaat, Dahipuri, Chips, Masala Poori, Bhel Puri, Jal-jeera, Sev Puri","Street Food"
2141,"\N","Bakery, Desserts"
2142,"\N","Fast Food, Pizza"
2143,"\N","Street Food, Fast Food"
2144,"\N","Andhra"
2145,"Falafel, Cocktails, Mocktails, Sea Food, Spring Roll, Mutton Pepper Fry, Pasta","North Indian, Chinese, Continental, Mexican"
2146,"Veg Thali, Dahi Vada, Malpua, Rajasthani Thali, Rabri, Buttermilk, Jalebi","Rajasthani, Gujarati"
2147,"\N","Fast Food"
2148,"\N","Fast Food, Beverages"
2149,"\N","Cafe, Fast Food"
2150,"\N","Cafe, Continental, Desserts"
2151,"Pepper Chicken, Chicken Biryani, Mutton Biryani","Biryani"
2152,"\N","Cafe, Continental, European, Italian"
2153,"Chicken Manchurian, Thukpa, Chicken Momo, Veg Momos, Tea, Veg Thupka","Japanese, Chinese, Tibetan, Momos"
2154,"Brownie, Badam Halwa, Mutton Seekh, Salads, Rasmalai, Tandoori Aloo, Mocktails","North Indian, Mughlai"
2155,"Handi Biryani, Sandwich","North Indian, Chinese, Fast Food, Street Food"
2156,"\N","North Indian, Chinese, Andhra"
2157,"Paratha, Tandoori Chicken, Panneer Butter Masala, Chole Bhature","North Indian, Chinese"
2158,"Kadhai Murgh, Lassi, Rabri, Mutton Biryani, Chaat, Dal Makhani, Malpua","North Indian, Maharashtrian, South Indian"
2159,"\N","Chinese, Rolls"
2160,"Biryani, Raita","Biryani, North Indian, Chinese"
2161,"Dabeli, Samosa, Tawa Pulav, Cheese Vada Pav","Maharashtrian"
2162,"Chicken Fritters, Steak, Sandwiches, Burgers, Pasta, Salads, Beef Stroganoff","Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian"
2163,"Samosa, Poha, Rasgulla, Kachori","Mithai, Fast Food"
2164,"Churros, Baklava Ice Cream, Cheesecake, Chocolate Peanut Butter, Cheese Roll, Chocolate Sundae","Desserts, Ice Cream, Beverages, Sandwich"
2165,"\N","Biryani, Mughlai"
2166,"\N","Biryani, North Indian"
2167,"\N","North Indian, Chinese, Kerala"
2168,"\N","North Indian, Arabian"
2169,"Chaat, Nachos, Peri Peri Pizza, Wedges, Milk Shake, Pink Lemonade, Pasta","Cafe, Continental, Burger"
2170,"Fritters, Lasagne, Biryani, Fish, Pasta, Draught Beer, Hot Pot","North Indian, Continental, Chinese, Steak"
2171,"\N","Kerala, Chinese, South Indian, North Indian"
2172,"\N","North Indian, South Indian, Chinese, Street Food"
2173,"Cocktails, Craft Beer, Salads, Devils Chicken, Sea Food, Mocktails, Wedges","European, Continental"
2174,"Decor","Finger Food"
2175,"\N","North Indian, Continental, South Indian"
2176,"\N","European, North Indian, South Indian, Seafood, Salad, Asian, Grill"
2177,"\N","Biryani, North Indian, Kebab"
2178,"Sandwiches, Maggi, Rolls, Chole Bhature, Ginger Tea, Paratha, Rava Masala Dosa","Juices, South Indian, Chinese, Fast Food"
2179,"Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries","North Indian, South Indian"
2180,"Burgers, Egg Salad, Pasta, Pancakes, Lasagne, Pizza, Lime Soda","Cafe, Asian, Burger, Continental, Italian, Salad"
2181,"Coffee, Sandwiches, Cappuccino","Cafe"
2182,"\N","Tea, Beverages, Fast Food"
2183,"Miso Soup, Tempura","Cafe, Japanese"
2184,"Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish","Cafe, American, Continental, Steak"
2185,"\N","Rolls, Chinese"
2186,"Tea, Momos, Tiramisu, Sandwiches, Pesto Pasta, Sandwich, Chips","Continental, Cafe, Desserts, Salad, Momos"
2187,"\N","South Indian, Kerala"
2188,"\N","Fast Food, Chinese"
2189,"Pasta, Wine, Pizza, Lasagne, Cheesecake, Spinach Ravioli, Cocktails","Italian, Pizza, Salad"
2190,"\N","Cafe, Desserts"
2191,"\N","Kerala, South Indian"
2192,"Steak, Burgers, Cocktails, Beer, Buffalo Wings, Pasta, Chicken Stroganoff","American, Mexican, Italian, Steak"
2193,"Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Nachos","Continental, Italian, Burger"
2194,"\N","Chinese, North Indian, Rolls"
2195,"Burgers, Beef Burger, Sandwiches, Fries, Bacon Burger","Fast Food, Burger, American"
2196,"Chai, Ginger Tea, Maggi, Aloo Paratha, Samosa, Coffee, Sandwich","Beverages, Fast Food"
2197,"\N","Continental, Chinese"
2198,"Salads, Sandwich, Pasta, Tea, Hot Chocolate, Paella, Banana Smoothie","Cafe, Healthy Food, Salad, Beverages"
2199,"\N","Mexican, Fast Food"
