"TYPE_ID","REST_TYPE","LISTED_IN_TYPE"
181,"Casual Dining, Cafe","Desserts"
182,"Dessert Parlor, Cafe","Desserts"
183,"Microbrewery, Casual Dining","Dine-out"
184,"Quick Bites, Food Court","Dine-out"
185,"Quick Bites","Desserts"
186,"Pub, Bar","Pubs and bars"
187,"Food Court, Dessert Parlor","Delivery"
188,"Lounge, Microbrewery","Drinks & nightlife"
189,"Lounge, Microbrewery","Delivery"
190,"Pub, Cafe","Desserts"
191,"Microbrewery, Lounge","Dine-out"
192,"Dessert Parlor, Quick Bites","Dine-out"
193,"Quick Bites, Cafe","Cafes"
194,"Microbrewery","Drinks & nightlife"
195,"Pub, Cafe","Cafes"
196,"Cafe, Casual Dining","Desserts"
197,"Casual Dining, Quick Bites","Delivery"
198,"Fine Dining, Bar","Buffet"
199,"Quick Bites, Meat Shop","Dine-out"
200,"Bar, Pub","Dine-out"
103,"Beverage Shop","Pubs and bars"
118,"Bhojanalya","Dine-out"
119,"Bakery, Food Court","Desserts"
124,"Sweet Shop, Quick Bites","Pubs and bars"
230,"Bakery","Desserts"
231,"Casual Dining","Dine-out"
232,"Casual Dining","Buffet"
233,"Beverage Shop, Quick Bites","Delivery"
234,"Mess","Dine-out"
235,"Casual Dining, Bar","Buffet"
236,"Fine Dining, Bar","Dine-out"
237,"Dessert Parlor, Cafe","Dine-out"
238,"Pub, Casual Dining","Drinks & nightlife"
239,"Bar, Casual Dining","Pubs and bars"
240,"Lounge, Bar","Dine-out"
241,"\N","Dine-out"
242,"Quick Bites, Cafe","Delivery"
243,"Casual Dining, Lounge","Delivery"
244,"Dessert Parlor, Beverage Shop","Desserts"
245,"Cafe, Bakery","Dine-out"
246,"Cafe, Dessert Parlor","Delivery"
247,"Pub, Casual Dining","Pubs and bars"
248,"Beverage Shop","Desserts"
249,"Quick Bites, Mess","Dine-out"
250,"Pub, Bar","Drinks & nightlife"
251,"\N","Buffet"
252,"Microbrewery, Pub","Pubs and bars"
253,"Lounge, Bar","Drinks & nightlife"
254,"Bakery, Cafe","Dine-out"
255,"Kiosk","Desserts"
256,"Pub, Bar","Delivery"
257,"Food Court","Cafes"
258,"Cafe, Bar","Dine-out"
259,"Microbrewery, Casual Dining","Buffet"
260,"Bakery, Dessert Parlor","Dine-out"
261,"Bar, Quick Bites","Drinks & nightlife"
262,"Club, Casual Dining","Drinks & nightlife"
263,"Cafe","Drinks & nightlife"
264,"Quick Bites","Drinks & nightlife"
265,"Dessert Parlor, Food Court","Desserts"
104,"Beverage Shop, Quick Bites","Pubs and bars"
105,"Takeaway","Dine-out"
306,"Bar, Casual Dining","Drinks & nightlife"
307,"Sweet Shop, Quick Bites","Delivery"
308,"Casual Dining, Cafe","Delivery"
309,"Lounge","Delivery"
310,"Kiosk","Delivery"
311,"Takeaway, Delivery","Desserts"
312,"Dessert Parlor, Quick Bites","Desserts"
313,"Bakery, Quick Bites","Desserts"
314,"Food Court, Quick Bites","Dine-out"
315,"Bakery, Quick Bites","Dine-out"
316,"Lounge","Drinks & nightlife"
317,"Bakery, Quick Bites","Delivery"
318,"Fine Dining, Lounge","Delivery"
319,"Casual Dining, Cafe","Buffet"
320,"\N","Desserts"
321,"Bakery, Dessert Parlor","Delivery"
322,"Cafe, Quick Bites","Dine-out"
323,"Beverage Shop, Quick Bites","Desserts"
324,"Quick Bites, Cafe","Dine-out"
325,"Lounge, Casual Dining","Delivery"
326,"Microbrewery, Casual Dining","Desserts"
327,"Microbrewery, Bar","Pubs and bars"
328,"Lounge, Cafe","Cafes"
329,"Food Court, Dessert Parlor","Desserts"
330,"Cafe, Bar","Cafes"
331,"Bar, Pub","Drinks & nightlife"
332,"Cafe","Buffet"
333,"Quick Bites, Mess","Delivery"
110,"Pub, Casual Dining","Desserts"
120,"Cafe, Food Court","Dine-out"
122,"Dessert Parlor, Kiosk","Delivery"
334,"Sweet Shop, Quick Bites","Desserts"
335,"Bar, Casual Dining","Buffet"
336,"Food Court","Buffet"
337,"Food Court","Dine-out"
338,"Bar, Cafe","Cafes"
339,"Cafe","Desserts"
340,"Pub, Casual Dining","Delivery"
341,"Casual Dining, Bar","Delivery"
342,"Lounge","Buffet"
343,"Takeaway","Delivery"
344,"Pub","Delivery"
345,"Sweet Shop","Delivery"
346,"Casual Dining, Pub","Dine-out"
347,"Fine Dining, Bar","Pubs and bars"
348,"Food Truck","Delivery"
349,"Food Court","Desserts"
350,"Bar","Delivery"
351,"Sweet Shop","Dine-out"
352,"Microbrewery, Bar","Drinks & nightlife"
353,"Pub, Microbrewery","Dine-out"
354,"Dhaba","Delivery"
355,"Dessert Parlor","Delivery"
356,"Quick Bites, Dessert Parlor","Desserts"
357,"Dessert Parlor, Quick Bites","Delivery"
358,"Takeaway","Desserts"
359,"Bakery, Quick Bites","Cafes"
360,"Microbrewery, Pub","Drinks & nightlife"
361,"Bakery, Kiosk","Desserts"
362,"Bar, Quick Bites","Delivery"
363,"Casual Dining, Lounge","Dine-out"
364,"Lounge, Microbrewery","Buffet"
365,"Cafe, Quick Bites","Desserts"
366,"Casual Dining, Irani Cafee","Delivery"
367,"Delivery","Cafes"
368,"Dessert Parlor","Pubs and bars"
369,"Bhojanalya","Delivery"
370,"Food Truck","Desserts"
371,"Quick Bites, Meat Shop","Delivery"
372,"Cafe, Casual Dining","Drinks & nightlife"
373,"Lounge, Cafe","Delivery"
374,"Pop Up","Desserts"
375,"Quick Bites","Buffet"
376,"Food Court, Beverage Shop","Delivery"
377,"Bar, Lounge","Drinks & nightlife"
109,"Cafe, Bar","Pubs and bars"
115,"Cafe","Pubs and bars"
116,"Bar, Pub","Pubs and bars"
121,"\N","Cafes"
123,"Casual Dining, Lounge","Drinks & nightlife"
266,"Confectionery","Desserts"
267,"Cafe, Casual Dining","Dine-out"
268,"Food Truck","Dine-out"
269,"Quick Bites","Delivery"
270,"Mess","Delivery"
271,"Delivery","Desserts"
272,"Casual Dining, Cafe","Cafes"
273,"Cafe, Quick Bites","Cafes"
274,"Dessert Parlor, Bakery","Delivery"
275,"Beverage Shop","Dine-out"
276,"Bakery, Cafe","Desserts"
277,"Cafe, Bakery","Desserts"
278,"Quick Bites, Bakery","Dine-out"
279,"Casual Dining, Cafe","Dine-out"
280,"Beverage Shop, Dessert Parlor","Desserts"
281,"Quick Bites, Sweet Shop","Delivery"
282,"Takeaway, Delivery","Dine-out"
283,"Quick Bites, Sweet Shop","Desserts"
284,"Casual Dining, Pub","Delivery"
285,"Pub","Drinks & nightlife"
286,"Quick Bites, Bakery","Desserts"
287,"Dessert Parlor","Dine-out"
288,"Bar","Dine-out"
289,"Casual Dining, Pub","Drinks & nightlife"
290,"Casual Dining, Microbrewery","Buffet"
291,"Beverage Shop, Cafe","Cafes"
292,"Lounge, Casual Dining","Dine-out"
293,"Fine Dining, Lounge","Drinks & nightlife"
294,"Bakery","Pubs and bars"
295,"Takeaway","Cafes"
296,"Dessert Parlor, Sweet Shop","Desserts"
297,"Casual Dining","Drinks & nightlife"
298,"Club","Drinks & nightlife"
299,"Casual Dining, Irani Cafee","Drinks & nightlife"
300,"Pub, Cafe","Drinks & nightlife"
301,"Lounge, Cafe","Drinks & nightlife"
302,"Bakery, Kiosk","Delivery"
303,"Microbrewery, Pub","Delivery"
304,"Pub, Casual Dining","Buffet"
305,"Club, Casual Dining","Dine-out"
